STCODE,FORMAT,SITE,REP,DURATION,SPECIES,TYPE,NIR_NUM,DUP,ANALY_DATE,NIR_N,NIR_PAFNN,NIR_NPE,NIR_LIGNIN,NIR_WSCARB,NIR_TANNIN,LAB,COMMENT
TD023,2,"LIDET_ALL",I,0,"ABCO",L,95033,,2003-01-01,0.760,0.805,,,,,OSU,
TD023,2,"LIDET_ALL",I,0,"ACSA",L,95003,,2003-01-01,0.300,0.314,,,,,OSU,
TD023,2,"LIDET_ALL",I,0,"ACSA",L,95027,,2003-01-01,1.070,1.151,,,,,OSU,
TD023,2,"LIDET_ALL",I,0,"AMBR",L,95028,,2003-01-01,1.540,1.655,,,,,OSU,
TD023,2,"LIDET_ALL",I,0,"ANGE",L,95034,,2003-01-01,0.730,0.778,,,,,OSU,
TD023,2,"LIDET_ALL",I,0,"ANGE",L,95012,,2003-01-01,0.830,0.889,,,,,OSU,
TD023,2,"LIDET_ALL",I,0,"ANSC",L,95010,,2003-01-01,0.990,1.057,,,,,OSU,
TD023,2,"LIDET_ALL",I,0,"BELU",L,95013,,2003-01-01,0.570,0.608,,,,,OSU,
TD023,2,"LIDET_ALL",I,0,"BOER",L,95016,,2003-01-01,0.740,0.786,,,,,OSU,
TD023,2,"LIDET_ALL",I,0,"BOGR",L,95007,,2003-01-01,0.810,0.862,,,,,OSU,
TD023,2,"LIDET_ALL",I,0,"CEGR",L,95006,,2003-01-01,2.140,2.312,,,,,OSU,
TD023,2,"LIDET_ALL",I,0,"CONU",L,95001,,2003-01-01,0.740,0.783,,,,,OSU,
TD023,2,"LIDET_ALL",I,0,"DRGL",L,95004,,2003-01-01,0.720,0.767,,,,,OSU,
TD023,2,"LIDET_ALL",I,0,"DRGL",L,95039,,2003-01-01,2.360,2.560,,,,,OSU,
TD023,2,"LIDET_ALL",I,0,"FAGR",L,95018,,2003-01-01,0.760,0.804,,,,,OSU,
TD023,2,"LIDET_ALL",I,0,"GYLU",L,95040,,2003-01-01,1.490,1.632,,,,,OSU,
TD023,2,"LIDET_ALL",I,0,"KOMY",L,95015,,2003-01-01,1.150,1.235,,,,,OSU,
TD023,2,"LIDET_ALL",I,0,"LATR",L,95014,,2003-01-01,0.560,0.586,,,,,OSU,
TD023,2,"LIDET_ALL",I,0,"LITU",L,95024,,2003-01-01,2.450,2.645,,,,,OSU,
TD023,2,"LIDET_ALL",I,0,"MYCE",L,95009,,2003-01-01,0.750,0.790,,,,,OSU,
TD023,2,"LIDET_ALL",I,0,"PIEL",L,95008,,2003-01-01,1.030,1.112,,,,,OSU,
TD023,2,"LIDET_ALL",I,0,"PIRE",L,95029,,2003-01-01,0.750,0.789,,,,,OSU,
TD023,2,"LIDET_ALL",I,0,"PIRE",L,95023,,2003-01-01,2.290,2.462,,,,,OSU,
TD023,2,"LIDET_ALL",I,0,"PIST",L,95021,,2003-01-01,0.880,0.947,,,,,OSU,
TD023,2,"LIDET_ALL",I,0,"POTR",L,95020,,2003-01-01,0.740,0.785,,,,,OSU,
