STCODE,FORMAT,SITE,REP,DURATION,SPECIES,TYPE,NIR_NUM,MESH,FILL_DATE,IADW,IODW
TD023,1,"LIDET_ARC",2,9,"ACSA",L,3282,1.0,1990-02-27,10.023,9.612
TD023,1,"LIDET_ARC",1,9,"ACSA",L,3283,1.0,1990-02-27,10.095,9.681
TD023,1,"LIDET_ARC",4,8,"ACSA",L,3284,1.0,1990-02-27,10.095,9.681
TD023,1,"LIDET_ARC",3,8,"ACSA",L,3285,1.0,1990-02-27,10.045,9.633
TD023,1,"LIDET_UFL",3,6,"ACSA",L,3837,1.0,1990-03-01,10.025,9.514
TD023,1,"LIDET_EXT",0,0,"AMBR",L,321,1.0,1990-02-01,10.066,9.543
TD023,1,"LIDET_EXT",0,0,"AMBR",L,322,1.0,1990-02-01,10.062,9.539
TD023,1,"LIDET_EXT",0,0,"AMBR",L,323,1.0,1990-02-01,10.017,9.496
TD023,1,"LIDET_EXT",0,0,"AMBR",L,324,1.0,1990-02-01,10.099,9.574
TD023,1,"LIDET_EXT",0,0,"ANGE",L,389,1.0,1990-02-01,10.021,9.480
TD023,1,"LIDET_EXT",0,0,"ANGE",L,390,1.0,1990-02-01,10.000,9.460
TD023,1,"LIDET_EXT",0,0,"ANGE",L,391,1.0,1990-02-01,9.997,9.457
TD023,1,"LIDET_EXT",0,0,"ANGE",L,392,1.0,1990-02-01,10.090,9.545
TD023,1,"LIDET_EXT",0,0,"CEGR",L,8546,1.0,1990-05-04,10.063,9.479
TD023,1,"LIDET_EXT",0,0,"CEGR",L,8547,1.0,1990-05-04,9.994,9.414
TD023,1,"LIDET_GSF",1,7,"CEGR",L,28548,1.0,1990-05-04,10.003,9.423
TD023,1,"LIDET_GSF",2,7,"CEGR",L,28549,1.0,1990-05-04,10.003,9.423
TD023,1,"LIDET_GSF",3,7,"CEGR",L,28550,1.0,1990-05-04,10.038,9.456
TD023,1,"LIDET_GSF",4,7,"CEGR",L,28551,1.0,1990-05-04,9.995,9.415
TD023,1,"LIDET_EXT",0,0,"CEGR",L,8552,1.0,1990-05-04,10.013,9.432
TD023,1,"LIDET_EXT",0,0,"CEGR",L,8553,1.0,1990-05-04,10.015,9.434
TD023,1,"LIDET_EXT",0,0,"DRGL",R,47145,0.1,1990-04-10,7.063,6.802
TD023,1,"LIDET_UFL",4,2,"FAGR",L,188,1.0,1990-02-01,10.029,9.578
TD023,1,"LIDET_UFL",3,3,"FAGR",L,189,1.0,1990-02-01,10.060,9.607
TD023,1,"LIDET_UFL",2,2,"FAGR",L,190,1.0,1990-02-01,10.023,9.572
TD023,1,"LIDET_UFL",1,2,"FAGR",L,191,1.0,1990-02-01,10.048,9.596
TD023,1,"LIDET_EXT",0,0,"PIEL",R,47861,0.1,1990-05-01,7.001,6.574
TD023,1,"LIDET_EXT",0,0,"PIEL",R,48052,0.1,1990-05-02,7.049,6.422
TD023,1,"LIDET_EXT",0,0,"PIST",L,285,1.0,1990-02-01,10.078,9.544
TD023,1,"LIDET_EXT",0,0,"PIST",L,286,1.0,1990-02-01,10.066,9.533
TD023,1,"LIDET_EXT",0,0,"PIST",L,299,1.0,1990-02-01,10.090,9.555
TD023,1,"LIDET_KNZ",4,7,"PIST",L,308,1.0,1990-02-01,13.492,12.777
TD023,1,"LIDET_EXT",0,0,"PSME",L,201,1.0,1990-02-01,10.088,9.644
TD023,1,"LIDET_EXT",0,0,"PSME",L,202,1.0,1990-02-01,10.042,9.600
TD023,1,"LIDET_EXT",0,0,"PSME",L,203,1.0,1990-02-01,10.067,9.624
TD023,1,"LIDET_EXT",0,0,"PSME",L,204,1.0,1990-02-01,10.055,9.613
TD023,1,"LIDET_EXT",0,0,"SPAL",L,41,1.0,1990-02-01,10.054,9.421
TD023,1,"LIDET_EXT",0,0,"SPAL",L,42,1.0,1990-02-01,10.066,9.432
TD023,1,"LIDET_EXT",0,0,"SPAL",L,43,1.0,1990-02-01,10.012,9.381
TD023,1,"LIDET_EXT",0,0,"SPAL",L,44,1.0,1990-02-01,10.085,9.450
TD023,1,"LIDET_EXT",0,0,"SPAL",L,721,1.0,1990-02-02,10.003,9.213
TD023,1,"LIDET_EXT",0,0,"SPAL",L,722,1.0,1990-02-02,10.032,9.239
TD023,1,"LIDET_EXT",0,0,"SPAL",L,723,1.0,1990-02-02,10.056,9.262
TD023,1,"LIDET_EXT",0,0,"SPAL",L,724,1.0,1990-02-02,10.000,9.210
TD023,1,"LIDET_AND",4,10,"THPL",L,761,1.0,1990-02-06,9.992,9.472
TD023,1,"LIDET_AND",1,1,"ACSA",L,3960,1.0,1990-03-01,10.098,9.583
TD023,1,"LIDET_AND",1,1,"ACSA",L,6752,7.0,1990-03-22,9.994,9.155
TD023,1,"LIDET_AND",1,1,"ANGE",R,46500,0.1,1990-06-04,6.988,6.674
TD023,1,"LIDET_AND",1,1,"DRGL",L,5000,1.0,1990-03-08,9.988,9.658
TD023,1,"LIDET_AND",1,1,"DRGL",R,46903,0.1,1990-04-10,7.070,6.808
TD023,1,"LIDET_AND",1,1,"GOBA",W,68788,,1990-07-09,51.817,47.827
TD023,1,"LIDET_AND",1,1,"PIEL",R,48405,0.1,1990-05-02,6.994,6.372
TD023,1,"LIDET_AND",1,1,"PIRE",L,2280,1.0,1990-02-15,10.151,9.867
TD023,1,"LIDET_AND",1,1,"PIST",L,290,1.0,1990-02-01,10.028,9.497
TD023,1,"LIDET_AND",1,1,"QUPR",L,4159,1.0,1990-03-05,10.039,9.417
TD023,1,"LIDET_AND",1,1,"RHMA",L,6648,7.0,1990-03-21,10.037,9.294
TD023,1,"LIDET_AND",1,1,"RHMA",L,6864,1.0,1990-03-21,8.032,7.454
TD023,1,"LIDET_AND",1,1,"THPL",L,800,1.0,1990-02-06,10.162,9.634
TD023,1,"LIDET_AND",1,1,"TRAE",L,2909,1.0,1990-02-22,10.022,9.551
TD023,1,"LIDET_AND",1,1,"TRAE",L,6784,7.0,1990-04-03,10.049,9.597
TD023,1,"LIDET_AND",1,2,"ACSA",L,3956,1.0,1990-03-01,10.086,9.572
TD023,1,"LIDET_AND",1,2,"ACSA",L,6748,7.0,1990-03-22,10.002,9.162
TD023,1,"LIDET_AND",1,2,"ANGE",R,46496,0.1,1990-06-04,7.009,6.694
TD023,1,"LIDET_AND",1,2,"CEGR",L,8557,1.0,1990-05-04,10.038,9.456
TD023,1,"LIDET_AND",1,2,"DRGL",L,4996,1.0,1990-03-08,9.981,9.652
TD023,1,"LIDET_AND",1,2,"DRGL",R,46899,0.1,1990-04-10,6.994,6.735
TD023,1,"LIDET_AND",1,2,"GOBA",W,68792,,1990-07-09,45.189,41.709
TD023,1,"LIDET_AND",1,2,"PIEL",R,48401,0.1,1990-05-02,7.009,6.385
TD023,1,"LIDET_AND",1,2,"PIRE",L,2276,1.0,1990-02-15,10.034,9.753
TD023,1,"LIDET_AND",1,2,"QUPR",L,4155,1.0,1990-03-05,10.064,9.440
TD023,1,"LIDET_AND",1,2,"RHMA",L,6644,7.0,1990-03-21,10.110,9.362
